model,opaque_action,permutation_order,unique_images
rankone-measure-prepare,0,1,9
rankone-measure-prepare,1,3,9
rankone-measure-prepare,2,3,9
rankone-measure-prepare,3,3,9
rankone-measure-prepare,4,3,9
higher-rank-luders-0.55,0,3,9
higher-rank-luders-0.55,1,3,9
higher-rank-luders-0.55,2,3,9
higher-rank-luders-0.55,3,3,9
higher-rank-luders-0.55,4,1,9
higher-rank-luders-0.80,0,1,9
higher-rank-luders-0.80,1,3,9
higher-rank-luders-0.80,2,3,9
higher-rank-luders-0.80,3,3,9
higher-rank-luders-0.80,4,3,9
null-luders,0,-1,6
null-luders,1,-1,6
null-luders,2,-1,5
null-luders,3,-1,6
null-luders,4,-1,7
haar-luders-0.55,0,-1,7
haar-luders-0.55,1,-1,8
haar-luders-0.55,2,-1,7
haar-luders-0.55,3,-1,8
haar-luders-0.55,4,-1,7
external-dfa-null,0,-1,5
external-dfa-null,1,-1,5
external-dfa-null,2,-1,6
external-dfa-null,3,-1,7
external-dfa-null,4,-1,6
