memory,sharpness,analytic_bellman_max_error,bellman_iterations,is_metric
0.0,0.1,6.821210263296962e-13,207,True
0.0,0.15000000000000002,6.004086117172847e-13,189,True
0.0,0.2,6.217248937900877e-13,193,True
0.0,0.25,6.10178574333986e-13,190,True
0.0,0.30000000000000004,5.773159728050814e-13,184,True
0.0,0.35,5.160316618457728e-13,179,True
0.0,0.4,5.275779813018744e-13,173,True
0.0,0.45000000000000007,4.654054919228656e-13,168,True
0.0,0.5,4.956035581926699e-13,162,True
0.0,0.55,4.547473508864641e-13,157,True
0.0,0.6,4.32542890393961e-13,152,True
0.0,0.65,4.2454928461665986e-13,147,True
0.0,0.7000000000000001,3.5349501104064984e-13,143,True
0.0,0.75,3.7569947153315297e-13,138,True
0.0,0.8,3.3217872896784684e-13,134,True
0.0,0.85,3.1086244689504383e-13,130,True
0.0,0.9,2.993161274389422e-13,126,True
0.0,0.9500000000000001,3.0109248427834245e-13,122,True
0.0,1.0,3.126388037344441e-13,118,True
0.049999999999999996,0.1,5.586642259913788e-13,185,True
0.049999999999999996,0.15000000000000002,5.098144129078719e-13,180,True
0.049999999999999996,0.2,5.480060849549773e-13,174,True
0.049999999999999996,0.25,5.027089855502709e-13,169,True
0.049999999999999996,0.30000000000000004,4.68070027181966e-13,164,True
0.049999999999999996,0.35,4.4853010194856324e-13,159,True
0.049999999999999996,0.4,4.432010314303625e-13,154,True
0.049999999999999996,0.45000000000000007,3.694822225952521e-13,150,True
0.049999999999999996,0.5,3.8813396940895473e-13,145,True
0.049999999999999996,0.55,3.481659405224491e-13,141,True
0.049999999999999996,0.6,3.9879211044535623e-13,136,True
0.049999999999999996,0.65,3.774758283725532e-13,132,True
0.049999999999999996,0.7000000000000001,2.913225216616411e-13,129,True
0.049999999999999996,0.75,2.984279490192421e-13,125,True
0.049999999999999996,0.8,3.170796958329447e-13,121,True
0.049999999999999996,0.85,2.6645352591003757e-13,118,True
0.049999999999999996,0.9,3.090860900556436e-13,114,True
0.049999999999999996,0.9500000000000001,2.815525590449397e-13,111,True
0.049999999999999996,1.0,2.5934809855243657e-13,108,True
0.09999999999999999,0.1,5.186961971048731e-13,164,True
0.09999999999999999,0.15000000000000002,4.3165471197426086e-13,159,True
0.09999999999999999,0.2,4.46753745109163e-13,154,True
0.09999999999999999,0.25,3.9257486150745535e-13,150,True
0.09999999999999999,0.30000000000000004,4.369837824924616e-13,145,True
0.09999999999999999,0.35,4.085620730620576e-13,141,True
0.09999999999999999,0.4,3.8902214782865485e-13,137,True
0.09999999999999999,0.45000000000000007,3.8813396940895473e-13,134,True
0.09999999999999999,0.5,3.161915174132446e-13,130,True
0.09999999999999999,0.55,3.3661962106634746e-13,126,True
0.09999999999999999,0.6,2.859934511434403e-13,123,True
