target,repertoire,class_dx,class_dy,step_norm,optimized_expected_cost,success_probability,initial_objective,final_objective
euclidean,D4,1,0,1.000000000000,1.000000000000,1.000000000000,2.499524625707e-01,8.467418601169e-02
euclidean,D8,1,0,1.000000000000,1.000000000000,1.000000000000,5.189029622383e-02,1.391452983271e-03
euclidean,D8,1,1,1.414213562373,1.328360732702,0.752807558505,5.189029622383e-02,1.391452983271e-03
euclidean,D16,1,0,1.000000000000,1.000000000000,1.000000000000,3.509250405945e-02,1.391452983271e-03
euclidean,D16,1,1,1.414213562373,1.328360732702,0.752807558505,3.509250405945e-02,1.391452983271e-03
euclidean,D16,2,1,2.236067977500,2.638560213450,0.378994572458,3.509250405945e-02,1.391452983271e-03
euclidean,D32,1,0,1.000000000000,1.000000000000,1.000000000000,3.240000000000e-02,8.861750140881e-04
euclidean,D32,1,1,1.414213562373,1.344827900594,0.743589569757,3.240000000000e-02,8.861750140881e-04
euclidean,D32,2,1,2.236067977500,2.638560213450,0.378994572458,3.240000000000e-02,8.861750140881e-04
euclidean,D32,3,1,3.162277660168,3.162289826304,0.316226549408,3.240000000000e-02,8.861750140881e-04
euclidean,D32,3,2,3.605551275464,4.254550505048,0.235042456028,3.240000000000e-02,8.861750140881e-04
fubini-study,D4,1,0,1.000000000000,1.000000000000,1.000000000000,2.527251427602e-01,8.593392118359e-02
fubini-study,D8,1,0,1.000000000000,1.000000000000,1.000000000000,5.299519814647e-02,1.448212758118e-03
fubini-study,D8,1,1,1.414213562373,1.324776000008,0.754844592591,5.299519814647e-02,1.448212758118e-03
fubini-study,D16,1,0,1.000000000000,1.000000000000,1.000000000000,3.597422161981e-02,1.448212758118e-03
fubini-study,D16,1,1,1.414213562373,1.324776000008,0.754844592591,3.597422161981e-02,1.448212758118e-03
fubini-study,D16,2,1,2.236067977500,2.638560213450,0.378994572458,3.597422161981e-02,1.448212758118e-03
fubini-study,D32,1,0,1.000000000000,1.000000000000,1.000000000000,3.322955464025e-02,9.154212558269e-04
fubini-study,D32,1,1,1.414213562373,1.341668483679,0.745340605496,3.322955464025e-02,9.154212558269e-04
fubini-study,D32,2,1,2.236067977500,2.638560213450,0.378994572458,3.322955464025e-02,9.154212558269e-04
fubini-study,D32,3,1,3.162277660168,3.154658667106,0.316991505429,3.322955464025e-02,9.154212558269e-04
fubini-study,D32,3,2,3.605551275464,4.254550505048,0.235042456028,3.322955464025e-02,9.154212558269e-04
