condition,button,action_plus,probe_X,probe_Y
informative-nonunitary,amber,0.6804715455239654,0.901047878942146,0.7666562910186339
informative-nonunitary,blue,0.6804715455239654,0.901047878942146,0.23334370898136614
informative-nonunitary,crimson,0.4022941221233822,0.28287582694084984,0.9022170210781992
informative-nonunitary,dune,0.4022941221233822,0.28287582694084984,0.09778297892180077
random-unitary,amber,0.5,0.9010478789421461,0.7985977206811959
random-unitary,blue,0.5,0.9010478789421461,0.20140227931880406
random-unitary,crimson,0.5,0.2828758269408499,0.9503965957613135
random-unitary,dune,0.5,0.2828758269408499,0.04960340423868648
null,amber,0.5,1.0,0.5
null,blue,0.5,1.0,0.5
null,crimson,0.5,1.0,0.5
null,dune,0.5,1.0,0.5
