condition,replicate,minimum_probe_signature_distance,identifiable,correct_chart_and_identifiable
informative-nonunitary,0,0.580193933095,1,1
informative-nonunitary,1,0.500224949398,1,1
informative-nonunitary,2,0.596343022094,1,1
informative-nonunitary,3,0.552268050859,1,1
informative-nonunitary,4,0.490917508345,1,1
informative-nonunitary,5,0.520096144958,1,1
informative-nonunitary,6,0.515218400293,1,1
informative-nonunitary,7,0.490407993410,1,1
informative-nonunitary,8,0.475105251497,1,1
informative-nonunitary,9,0.555000000000,1,1
informative-nonunitary,10,0.488697247793,1,1
informative-nonunitary,11,0.535210239065,1,1
informative-nonunitary,12,0.476681235209,1,1
informative-nonunitary,13,0.535023363976,1,1
informative-nonunitary,14,0.531154403164,1,1
informative-nonunitary,15,0.566789202438,1,1
informative-nonunitary,16,0.520096144958,1,1
informative-nonunitary,17,0.506581681469,1,1
informative-nonunitary,18,0.590529423484,1,1
informative-nonunitary,19,0.543897968373,1,1
informative-nonunitary,20,0.595021008032,1,1
informative-nonunitary,21,0.561426753905,1,1
informative-nonunitary,22,0.411096095822,1,1
informative-nonunitary,23,0.526165373243,1,1
informative-nonunitary,24,0.586728216468,1,1
informative-nonunitary,25,0.546122696837,1,1
informative-nonunitary,26,0.511981444976,1,1
informative-nonunitary,27,0.505618433208,1,1
informative-nonunitary,28,0.550090901579,1,1
informative-nonunitary,29,0.580000000000,1,1
informative-nonunitary,30,0.539351462406,1,1
informative-nonunitary,31,0.562694410848,1,1
informative-nonunitary,32,0.540832691320,1,1
informative-nonunitary,33,0.420029760850,1,1
informative-nonunitary,34,0.551112511199,1,1
informative-nonunitary,35,0.601019966390,1,1
informative-nonunitary,36,0.491248409667,1,1
informative-nonunitary,37,0.565199079971,1,1
informative-nonunitary,38,0.502020915899,1,1
informative-nonunitary,39,0.520864665724,1,1
informative-nonunitary,40,0.510000000000,1,1
informative-nonunitary,41,0.520096144958,1,1
informative-nonunitary,42,0.560557757952,1,1
informative-nonunitary,43,0.580775343829,1,1
informative-nonunitary,44,0.525095229458,1,1
informative-nonunitary,45,0.525023808984,1,1
informative-nonunitary,46,0.497518843864,1,1
informative-nonunitary,47,0.584508340402,1,1
informative-nonunitary,48,0.500224949398,1,1
informative-nonunitary,49,0.540000000000,1,1
informative-nonunitary,50,0.525095229458,1,1
informative-nonunitary,51,0.600020832972,1,1
informative-nonunitary,52,0.580538543079,1,1
informative-nonunitary,53,0.541133070510,1,1
informative-nonunitary,54,0.585192276094,1,1
informative-nonunitary,55,0.495908257644,1,1
informative-nonunitary,56,0.545573093178,1,1
informative-nonunitary,57,0.555562777731,1,1
informative-nonunitary,58,0.530023584381,1,1
informative-nonunitary,59,0.505024751869,1,1
informative-nonunitary,60,0.641580080738,1,1
informative-nonunitary,61,0.575782076831,1,1
informative-nonunitary,62,0.517880295049,1,1
informative-nonunitary,63,0.541871756046,1,1
informative-nonunitary,64,0.480000000000,1,1
informative-nonunitary,65,0.597599364123,1,1
informative-nonunitary,66,0.560022320984,1,1
informative-nonunitary,67,0.560802995712,1,1
