eta,senses,known_start,episodes,label_success,label_success_se,target_fidelity,target_fidelity_se,mean_cost
0.0,0,0,2000,0.111,0.0070259648512532085,0.3340000000000001,0.006075123062686063,2.341
0.0,2,0,2000,0.106,0.006885179943285847,0.32516666666666666,0.006056355087071149,4.3405
0.0,4,0,2000,0.117,0.007188973547755977,0.3396666666666666,0.006159818225335346,6.326
0.0,6,0,2000,0.1085,0.006956153321665447,0.33133333333333337,0.006042868369331285,8.3285
0.3,0,0,2000,0.1175,0.007202278209407274,0.33650000000000013,0.006217169902841681,2.337
0.3,2,0,2000,0.1515,0.008019103940840709,0.47868983979888957,0.006267349624115646,4.351
0.3,4,0,2000,0.1545,0.00808378307318963,0.4701776623803538,0.006332645446111887,6.352
0.3,6,0,2000,0.167,0.008342079785495567,0.5182266486592316,0.006413648155125412,8.3495
0.6,0,0,2000,0.101,0.006739600218525783,0.3280000000000001,0.00587865738410168,2.335
0.6,2,0,2000,0.219,0.00924998816975299,0.6397869543531297,0.006306408421539061,4.3275
0.6,4,0,2000,0.2115,0.009133760878953255,0.6099899609736413,0.0058316321643536746,6.319
0.6,6,0,2000,0.247,0.009645829202847478,0.679702827025447,0.005792368336440396,8.321
1.0,0,0,2000,0.111,0.0070259648512532085,0.3336666666666667,0.006079709723666989,2.341
1.0,2,0,2000,0.2975,0.010224927851813302,0.8776206950330279,0.0038363047260014265,4.313
1.0,4,0,2000,0.287,0.010117642182923391,0.5667215906419256,0.0064796652358618196,6.3355
1.0,6,0,2000,0.299,0.010239722943663149,0.41429686871496174,0.00632357565879515,8.3265
0.6,0,1,2000,1.0,0.0,1.0000000000000002,4.328104295271814e-18,2.3445
