source_i,source_j,target_i,target_j,word,manhattan_cost,euclidean_expected_unit_cost,qutrit_torus_cost,terminal_fidelity
0,0,0,0,identity,0,0.000000000000,0,0.9999999999999996
0,0,0,1,N,1,1.000000000000,1,0.9999999999999994
0,0,0,2,NN,2,2.000000000000,1,0.9999999999999993
0,0,1,0,E,1,1.000000000000,1,0.9999999999999996
0,0,1,1,EN,2,1.414213562373,2,0.9999999999999994
0,0,1,2,ENN,3,2.236067977500,2,0.9999999999999996
0,0,2,0,EE,2,2.000000000000,1,0.9999999999999996
0,0,2,1,EEN,3,2.236067977500,2,0.9999999999999996
0,0,2,2,EENN,4,2.828427124746,2,0.9999999999999996
0,1,0,0,S,1,1.000000000000,1,0.9999999999999996
0,1,0,1,identity,0,0.000000000000,0,0.9999999999999994
0,1,0,2,N,1,1.000000000000,1,0.9999999999999993
0,1,1,0,ES,2,1.414213562373,2,0.9999999999999996
0,1,1,1,E,1,1.000000000000,1,0.9999999999999996
0,1,1,2,EN,2,1.414213562373,2,0.9999999999999996
0,1,2,0,EES,3,2.236067977500,2,0.9999999999999996
0,1,2,1,EE,2,2.000000000000,1,0.9999999999999996
0,1,2,2,EEN,3,2.236067977500,2,0.9999999999999996
0,2,0,0,SS,2,2.000000000000,1,0.9999999999999993
0,2,0,1,S,1,1.000000000000,1,0.9999999999999994
0,2,0,2,identity,0,0.000000000000,0,0.9999999999999996
0,2,1,0,ESS,3,2.236067977500,2,0.9999999999999996
0,2,1,1,ES,2,1.414213562373,2,0.9999999999999996
0,2,1,2,E,1,1.000000000000,1,0.9999999999999996
0,2,2,0,EESS,4,2.828427124746,2,0.9999999999999996
0,2,2,1,EES,3,2.236067977500,2,0.9999999999999996
0,2,2,2,EE,2,2.000000000000,1,0.9999999999999997
1,0,0,0,W,1,1.000000000000,1,0.9999999999999996
1,0,0,1,WN,2,1.414213562373,2,0.9999999999999994
1,0,0,2,WNN,3,2.236067977500,2,0.9999999999999993
1,0,1,0,identity,0,0.000000000000,0,0.9999999999999996
1,0,1,1,N,1,1.000000000000,1,0.9999999999999996
1,0,1,2,NN,2,2.000000000000,1,0.9999999999999996
1,0,2,0,E,1,1.000000000000,1,0.9999999999999996
1,0,2,1,EN,2,1.414213562373,2,0.9999999999999996
1,0,2,2,ENN,3,2.236067977500,2,0.9999999999999996
1,1,0,0,WS,2,1.414213562373,2,0.9999999999999994
1,1,0,1,W,1,1.000000000000,1,0.9999999999999994
1,1,0,2,WN,2,1.414213562373,2,0.9999999999999996
1,1,1,0,S,1,1.000000000000,1,0.9999999999999996
1,1,1,1,identity,0,0.000000000000,0,0.9999999999999996
1,1,1,2,N,1,1.000000000000,1,0.9999999999999996
1,1,2,0,ES,2,1.414213562373,2,0.9999999999999996
1,1,2,1,E,1,1.000000000000,1,0.9999999999999996
1,1,2,2,EN,2,1.414213562373,2,0.9999999999999994
1,2,0,0,WSS,3,2.236067977500,2,0.9999999999999998
1,2,0,1,WS,2,1.414213562373,2,0.9999999999999996
1,2,0,2,W,1,1.000000000000,1,0.9999999999999997
1,2,1,0,SS,2,2.000000000000,1,0.9999999999999996
1,2,1,1,S,1,1.000000000000,1,0.9999999999999996
1,2,1,2,identity,0,0.000000000000,0,0.9999999999999998
1,2,2,0,ESS,3,2.236067977500,2,0.9999999999999997
1,2,2,1,ES,2,1.414213562373,2,0.9999999999999997
1,2,2,2,E,1,1.000000000000,1,0.9999999999999997
2,0,0,0,WW,2,2.000000000000,1,0.9999999999999996
2,0,0,1,WWN,3,2.236067977500,2,0.9999999999999996
2,0,0,2,WWNN,4,2.828427124746,2,0.9999999999999994
2,0,1,0,W,1,1.000000000000,1,0.9999999999999997
2,0,1,1,WN,2,1.414213562373,2,0.9999999999999996
2,0,1,2,WNN,3,2.236067977500,2,0.9999999999999997
2,0,2,0,identity,0,0.000000000000,0,0.9999999999999998
2,0,2,1,N,1,1.000000000000,1,0.9999999999999998
2,0,2,2,NN,2,2.000000000000,1,0.9999999999999996
2,1,0,0,WWS,3,2.236067977500,2,0.9999999999999996
2,1,0,1,WW,2,2.000000000000,1,0.9999999999999996
2,1,0,2,WWN,3,2.236067977500,2,0.9999999999999996
2,1,1,0,WS,2,1.414213562373,2,0.9999999999999996
2,1,1,1,W,1,1.000000000000,1,0.9999999999999996
2,1,1,2,WN,2,1.414213562373,2,0.9999999999999996
2,1,2,0,S,1,1.000000000000,1,0.9999999999999996
2,1,2,1,identity,0,0.000000000000,0,0.9999999999999997
2,1,2,2,N,1,1.000000000000,1,0.9999999999999997
2,2,0,0,WWSS,4,2.828427124746,2,0.9999999999999996
2,2,0,1,WWS,3,2.236067977500,2,0.9999999999999996
2,2,0,2,WW,2,2.000000000000,1,0.9999999999999996
2,2,1,0,WSS,3,2.236067977500,2,0.9999999999999996
2,2,1,1,WS,2,1.414213562373,2,0.9999999999999994
2,2,1,2,W,1,1.000000000000,1,0.9999999999999998
2,2,2,0,SS,2,2.000000000000,1,0.9999999999999996
2,2,2,1,S,1,1.000000000000,1,0.9999999999999996
2,2,2,2,identity,0,0.000000000000,0,0.9999999999999998
