state,shell,action,Q,optimal
00,self,X,5.138071187457676,0
00,self,Z,5.138071187457676,0
00,self,retry-Y,5.138071187457676,0
00,self,SIC,3.1380711874576863,1
10,edge,X,4.138071187457682,1
10,edge,Z,5.552284749830768,0
10,edge,retry-Y,5.138071187457676,0
10,edge,SIC,4.5174282499435785,0
01,edge,X,5.552284749830768,0
01,edge,Z,4.138071187457682,1
01,edge,retry-Y,5.138071187457676,0
01,edge,SIC,4.5174282499435785,0
11,diagonal,X,5.138071187457676,0
11,diagonal,Z,5.138071187457676,0
11,diagonal,retry-Y,4.5522847498307755,1
11,diagonal,SIC,4.655499437401276,0
