gamma,self_value,edge_value,diagonal_value,edge_excess,diagonal_excess,analytic_regime,numerical_policy_00_10_01_11,analytic_numerical_max_error
0.0,1.0,1.0,1.0,0.0,0.0,SIC/SIC/SIC,X/X/X/X,0.0
0.002,1.0010016694490818,1.001669449081803,1.001669449081803,0.0006677796327212437,0.0006677796327212437,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.004,1.0020066889632107,1.0033444816053512,1.0033444816053512,0.0013377926421405117,0.0013377926421405117,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.006,1.0030150753768845,1.0050251256281408,1.0050251256281408,0.0020100502512563345,0.0020100502512563345,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.008,1.0040268456375838,1.0067114093959733,1.0067114093959733,0.0026845637583894355,0.0026845637583894355,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.01,1.0050420168067227,1.0084033613445378,1.0084033613445378,0.003361344537815114,0.003361344537815114,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.012,1.006060606060606,1.01010101010101,1.01010101010101,0.004040404040403844,0.004040404040403844,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.014,1.0070826306913998,1.0118043844856661,1.0118043844856661,0.004721753794266315,0.004721753794266315,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.016,1.008108108108108,1.0135135135135136,1.0135135135135136,0.005405405405405572,0.005405405405405572,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.018000000000000002,1.0091370558375634,1.015228426395939,1.015228426395939,0.006091370558375608,0.006091370558375608,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.02,1.0101694915254236,1.0169491525423728,1.0169491525423728,0.006779661016949268,0.006779661016949268,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.022,1.0112054329371818,1.0186757215619695,1.0186757215619695,0.007470288624787713,0.007470288624787713,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.024,1.0122448979591836,1.0204081632653061,1.0204081632653061,0.008163265306122547,0.008163265306122547,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.026000000000000002,1.0132879045996592,1.0221465076660987,1.0221465076660987,0.008858603066439485,0.008858603066439485,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.028,1.014334470989761,1.023890784982935,1.023890784982935,0.009556313993174026,0.009556313993174026,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.03,1.0153846153846156,1.0256410256410258,1.0256410256410258,0.01025641025641022,0.01025641025641022,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.032,1.0164383561643835,1.0273972602739727,1.0273972602739727,0.010958904109589218,0.010958904109589218,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.034,1.0174957118353345,1.0291595197255574,1.0291595197255574,0.011663807890222921,0.011663807890222921,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.036000000000000004,1.0185567010309278,1.0309278350515463,1.0309278350515463,0.012371134020618513,0.012371134020618513,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.038,1.0196213425129088,1.0327022375215147,1.0327022375215147,0.013080895008605875,0.013080895008605875,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.04,1.0206896551724138,1.0344827586206897,1.0344827586206897,0.01379310344827589,0.01379310344827589,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.042,1.0217616580310882,1.0362694300518134,1.0362694300518134,0.014507772020725174,0.014507772020725174,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
