seed,environment,beacon,site,learned_p_one,exact_p_one
0,qudit-grid-3x3-reversible-beacons,0,0,0.04228855721393035,0.049999999999999996
0,qudit-grid-3x3-reversible-beacons,0,1,0.44029850746268656,0.5000000000000001
0,qudit-grid-3x3-reversible-beacons,0,2,0.9427860696517413,0.9500000000000001
0,qudit-grid-3x3-reversible-beacons,0,3,0.0472636815920398,0.049999999999999996
0,qudit-grid-3x3-reversible-beacons,0,4,0.5149253731343284,0.5000000000000001
0,qudit-grid-3x3-reversible-beacons,0,5,0.9477611940298507,0.9500000000000001
0,qudit-grid-3x3-reversible-beacons,0,6,0.05223880597014925,0.049999999999999996
0,qudit-grid-3x3-reversible-beacons,0,7,0.4601990049751244,0.5000000000000001
0,qudit-grid-3x3-reversible-beacons,0,8,0.9427860696517413,0.9500000000000001
0,qudit-grid-3x3-reversible-beacons,1,0,0.02736318407960199,0.049999999999999996
0,qudit-grid-3x3-reversible-beacons,1,1,0.0472636815920398,0.049999999999999996
0,qudit-grid-3x3-reversible-beacons,1,2,0.07711442786069651,0.049999999999999996
0,qudit-grid-3x3-reversible-beacons,1,3,0.5497512437810945,0.5000000000000001
0,qudit-grid-3x3-reversible-beacons,1,4,0.5348258706467661,0.5000000000000001
0,qudit-grid-3x3-reversible-beacons,1,5,0.5398009950248757,0.5000000000000001
0,qudit-grid-3x3-reversible-beacons,1,6,0.9378109452736318,0.9500000000000001
0,qudit-grid-3x3-reversible-beacons,1,7,0.9378109452736318,0.9500000000000001
0,qudit-grid-3x3-reversible-beacons,1,8,0.9378109452736318,0.9500000000000001
0,qudit-grid-3x3-reversible-beacons,2,0,0.07711442786069651,0.049999999999999996
0,qudit-grid-3x3-reversible-beacons,2,1,0.31094527363184077,0.275
0,qudit-grid-3x3-reversible-beacons,2,2,0.5447761194029851,0.5000000000000001
0,qudit-grid-3x3-reversible-beacons,2,3,0.27114427860696516,0.275
0,qudit-grid-3x3-reversible-beacons,2,4,0.5049751243781094,0.5000000000000001
0,qudit-grid-3x3-reversible-beacons,2,5,0.7288557213930348,0.7250000000000001
0,qudit-grid-3x3-reversible-beacons,2,6,0.4701492537313433,0.5000000000000001
0,qudit-grid-3x3-reversible-beacons,2,7,0.6791044776119403,0.7250000000000001
0,qudit-grid-3x3-reversible-beacons,2,8,0.9427860696517413,0.9500000000000001
0,qudit-grid-3x3-reversible-beacons,3,0,0.5447761194029851,0.5000000000000001
0,qudit-grid-3x3-reversible-beacons,3,1,0.24129353233830847,0.275
0,qudit-grid-3x3-reversible-beacons,3,2,0.0472636815920398,0.049999999999999996
0,qudit-grid-3x3-reversible-beacons,3,3,0.6840796019900498,0.7250000000000001
0,qudit-grid-3x3-reversible-beacons,3,4,0.5,0.5000000000000001
0,qudit-grid-3x3-reversible-beacons,3,5,0.31094527363184077,0.275
0,qudit-grid-3x3-reversible-beacons,3,6,0.9676616915422885,0.9500000000000001
0,qudit-grid-3x3-reversible-beacons,3,7,0.753731343283582,0.7250000000000001
0,qudit-grid-3x3-reversible-beacons,3,8,0.48507462686567165,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,0,0,0.4701492537313433,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,0,1,0.5,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,0,2,0.4601990049751244,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,0,3,0.4601990049751244,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,0,4,0.5,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,0,5,0.5,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,0,6,0.4502487562189055,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,0,7,0.5497512437810945,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,0,8,0.48507462686567165,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,1,0,0.5348258706467661,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,1,1,0.5099502487562189,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,1,2,0.5,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,1,3,0.47512437810945274,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,1,4,0.5398009950248757,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,1,5,0.4502487562189055,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,1,6,0.47512437810945274,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,1,7,0.48507462686567165,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,1,8,0.5149253731343284,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,2,0,0.5348258706467661,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,2,1,0.5149253731343284,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,2,2,0.6044776119402985,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,2,3,0.5945273631840796,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,2,4,0.5497512437810945,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,2,5,0.48009950248756217,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,2,6,0.44029850746268656,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,2,7,0.5497512437810945,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,2,8,0.48507462686567165,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,3,0,0.49502487562189057,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,3,1,0.5447761194029851,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,3,2,0.43034825870646765,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,3,3,0.5248756218905473,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,3,4,0.5149253731343284,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,3,5,0.5149253731343284,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,3,6,0.4651741293532338,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,3,7,0.43532338308457713,0.5000000000000001
0,qudit-grid-3x3-reversible-null-beacons,3,8,0.5199004975124378,0.5000000000000001
1,qudit-grid-3x3-reversible-beacons,0,0,0.03233830845771144,0.049999999999999996
1,qudit-grid-3x3-reversible-beacons,0,1,0.4601990049751244,0.5000000000000001
1,qudit-grid-3x3-reversible-beacons,0,2,0.9527363184079602,0.9500000000000001
1,qudit-grid-3x3-reversible-beacons,0,3,0.05223880597014925,0.049999999999999996
1,qudit-grid-3x3-reversible-beacons,0,4,0.5248756218905473,0.5000000000000001
1,qudit-grid-3x3-reversible-beacons,0,5,0.9577114427860697,0.9500000000000001
1,qudit-grid-3x3-reversible-beacons,0,6,0.04228855721393035,0.049999999999999996
1,qudit-grid-3x3-reversible-beacons,0,7,0.44527363184079605,0.5000000000000001
1,qudit-grid-3x3-reversible-beacons,0,8,0.927860696517413,0.9500000000000001
1,qudit-grid-3x3-reversible-beacons,1,0,0.05223880597014925,0.049999999999999996
1,qudit-grid-3x3-reversible-beacons,1,1,0.06218905472636816,0.049999999999999996
1,qudit-grid-3x3-reversible-beacons,1,2,0.03731343283582089,0.049999999999999996
1,qudit-grid-3x3-reversible-beacons,1,3,0.4552238805970149,0.5000000000000001
1,qudit-grid-3x3-reversible-beacons,1,4,0.48009950248756217,0.5000000000000001
1,qudit-grid-3x3-reversible-beacons,1,5,0.4900497512437811,0.5000000000000001
1,qudit-grid-3x3-reversible-beacons,1,6,0.9427860696517413,0.9500000000000001
1,qudit-grid-3x3-reversible-beacons,1,7,0.9527363184079602,0.9500000000000001
1,qudit-grid-3x3-reversible-beacons,1,8,0.9527363184079602,0.9500000000000001
1,qudit-grid-3x3-reversible-beacons,2,0,0.06716417910447761,0.049999999999999996
1,qudit-grid-3x3-reversible-beacons,2,1,0.23134328358208955,0.275
1,qudit-grid-3x3-reversible-beacons,2,2,0.5248756218905473,0.5000000000000001
1,qudit-grid-3x3-reversible-beacons,2,3,0.31094527363184077,0.275
1,qudit-grid-3x3-reversible-beacons,2,4,0.4701492537313433,0.5000000000000001
1,qudit-grid-3x3-reversible-beacons,2,5,0.7089552238805971,0.7250000000000001
1,qudit-grid-3x3-reversible-beacons,2,6,0.49502487562189057,0.5000000000000001
1,qudit-grid-3x3-reversible-beacons,2,7,0.7338308457711443,0.7250000000000001
1,qudit-grid-3x3-reversible-beacons,2,8,0.9328358208955224,0.9500000000000001
1,qudit-grid-3x3-reversible-beacons,3,0,0.5447761194029851,0.5000000000000001
1,qudit-grid-3x3-reversible-beacons,3,1,0.31094527363184077,0.275
1,qudit-grid-3x3-reversible-beacons,3,2,0.02736318407960199,0.049999999999999996
1,qudit-grid-3x3-reversible-beacons,3,3,0.7189054726368159,0.7250000000000001
1,qudit-grid-3x3-reversible-beacons,3,4,0.5049751243781094,0.5000000000000001
1,qudit-grid-3x3-reversible-beacons,3,5,0.26616915422885573,0.275
1,qudit-grid-3x3-reversible-beacons,3,6,0.9527363184079602,0.9500000000000001
1,qudit-grid-3x3-reversible-beacons,3,7,0.6840796019900498,0.7250000000000001
1,qudit-grid-3x3-reversible-beacons,3,8,0.4900497512437811,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,0,0,0.5099502487562189,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,0,1,0.4651741293532338,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,0,2,0.48507462686567165,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,0,3,0.5099502487562189,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,0,4,0.47512437810945274,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,0,5,0.49502487562189057,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,0,6,0.5447761194029851,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,0,7,0.5199004975124378,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,0,8,0.5298507462686567,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,1,0,0.4502487562189055,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,1,1,0.5746268656716418,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,1,2,0.4900497512437811,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,1,3,0.4253731343283582,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,1,4,0.5348258706467661,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,1,5,0.4900497512437811,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,1,6,0.5597014925373134,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,1,7,0.48507462686567165,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,1,8,0.48009950248756217,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,2,0,0.48507462686567165,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,2,1,0.5348258706467661,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,2,2,0.5099502487562189,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,2,3,0.49502487562189057,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,2,4,0.4701492537313433,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,2,5,0.5,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,2,6,0.5398009950248757,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,2,7,0.5049751243781094,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,2,8,0.4701492537313433,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,3,0,0.49502487562189057,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,3,1,0.48009950248756217,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,3,2,0.5447761194029851,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,3,3,0.4900497512437811,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,3,4,0.4651741293532338,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,3,5,0.48507462686567165,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,3,6,0.43034825870646765,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,3,7,0.5447761194029851,0.5000000000000001
1,qudit-grid-3x3-reversible-null-beacons,3,8,0.5049751243781094,0.5000000000000001
2,qudit-grid-3x3-reversible-beacons,0,0,0.04228855721393035,0.049999999999999996
2,qudit-grid-3x3-reversible-beacons,0,1,0.5298507462686567,0.5000000000000001
2,qudit-grid-3x3-reversible-beacons,0,2,0.9577114427860697,0.9500000000000001
2,qudit-grid-3x3-reversible-beacons,0,3,0.0472636815920398,0.049999999999999996
2,qudit-grid-3x3-reversible-beacons,0,4,0.5447761194029851,0.5000000000000001
2,qudit-grid-3x3-reversible-beacons,0,5,0.972636815920398,0.9500000000000001
2,qudit-grid-3x3-reversible-beacons,0,6,0.03731343283582089,0.049999999999999996
2,qudit-grid-3x3-reversible-beacons,0,7,0.47512437810945274,0.5000000000000001
2,qudit-grid-3x3-reversible-beacons,0,8,0.9477611940298507,0.9500000000000001
2,qudit-grid-3x3-reversible-beacons,1,0,0.04228855721393035,0.049999999999999996
2,qudit-grid-3x3-reversible-beacons,1,1,0.05223880597014925,0.049999999999999996
2,qudit-grid-3x3-reversible-beacons,1,2,0.02736318407960199,0.049999999999999996
2,qudit-grid-3x3-reversible-beacons,1,3,0.4502487562189055,0.5000000000000001
2,qudit-grid-3x3-reversible-beacons,1,4,0.5199004975124378,0.5000000000000001
2,qudit-grid-3x3-reversible-beacons,1,5,0.4900497512437811,0.5000000000000001
2,qudit-grid-3x3-reversible-beacons,1,6,0.9527363184079602,0.9500000000000001
2,qudit-grid-3x3-reversible-beacons,1,7,0.9626865671641791,0.9500000000000001
2,qudit-grid-3x3-reversible-beacons,1,8,0.9577114427860697,0.9500000000000001
2,qudit-grid-3x3-reversible-beacons,2,0,0.02736318407960199,0.049999999999999996
2,qudit-grid-3x3-reversible-beacons,2,1,0.31094527363184077,0.275
2,qudit-grid-3x3-reversible-beacons,2,2,0.5348258706467661,0.5000000000000001
2,qudit-grid-3x3-reversible-beacons,2,3,0.32587064676616917,0.275
2,qudit-grid-3x3-reversible-beacons,2,4,0.554726368159204,0.5000000000000001
2,qudit-grid-3x3-reversible-beacons,2,5,0.753731343283582,0.7250000000000001
2,qudit-grid-3x3-reversible-beacons,2,6,0.47512437810945274,0.5000000000000001
2,qudit-grid-3x3-reversible-beacons,2,7,0.753731343283582,0.7250000000000001
2,qudit-grid-3x3-reversible-beacons,2,8,0.9577114427860697,0.9500000000000001
2,qudit-grid-3x3-reversible-beacons,3,0,0.6293532338308457,0.5000000000000001
2,qudit-grid-3x3-reversible-beacons,3,1,0.32587064676616917,0.275
2,qudit-grid-3x3-reversible-beacons,3,2,0.07213930348258707,0.049999999999999996
2,qudit-grid-3x3-reversible-beacons,3,3,0.753731343283582,0.7250000000000001
2,qudit-grid-3x3-reversible-beacons,3,4,0.5348258706467661,0.5000000000000001
2,qudit-grid-3x3-reversible-beacons,3,5,0.31592039800995025,0.275
2,qudit-grid-3x3-reversible-beacons,3,6,0.9378109452736318,0.9500000000000001
2,qudit-grid-3x3-reversible-beacons,3,7,0.6840796019900498,0.7250000000000001
2,qudit-grid-3x3-reversible-beacons,3,8,0.3706467661691542,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,0,0,0.44029850746268656,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,0,1,0.4701492537313433,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,0,2,0.43532338308457713,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,0,3,0.554726368159204,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,0,4,0.5398009950248757,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,0,5,0.48009950248756217,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,0,6,0.42039800995024873,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,0,7,0.5049751243781094,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,0,8,0.4601990049751244,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,1,0,0.5298507462686567,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,1,1,0.48009950248756217,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,1,2,0.5646766169154229,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,1,3,0.48009950248756217,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,1,4,0.47512437810945274,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,1,5,0.5149253731343284,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,1,6,0.5049751243781094,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,1,7,0.5099502487562189,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,1,8,0.5199004975124378,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,2,0,0.5298507462686567,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,2,1,0.47512437810945274,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,2,2,0.5348258706467661,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,2,3,0.5049751243781094,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,2,4,0.5149253731343284,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,2,5,0.4651741293532338,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,2,6,0.4601990049751244,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,2,7,0.47512437810945274,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,2,8,0.5348258706467661,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,3,0,0.48507462686567165,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,3,1,0.5348258706467661,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,3,2,0.5398009950248757,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,3,3,0.5248756218905473,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,3,4,0.4651741293532338,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,3,5,0.4900497512437811,0.5000000000000001
2,qudit-grid-3x3-reversible-null-beacons,3,6,0.5298507462686567,0.5000000000000001
