condition,seed,all_pairs_success,reset_success,mean_senses,mean_moves,mean_total_interventions,mean_commit_confidence,mean_initial_entropy,mean_commit_entropy,beacon_mae,transition_tv_error,movement_exact_correlation,movement_stress_1d,movement_stress_2d,movement_stress_3d,movement_procrustes_r2,total_stress_2d,total_stress_3d,total_procrustes_r2,sensing_distance_correlation,sensing_additive_r2
active,0,0.9387654320987655,0.8933333333333332,13.591111111111111,1.5728395061728395,16.16395061728395,0.9363598178630071,2.1972245773362196,0.28256702813796064,0.021669430624654512,0.022554578240281883,0.6830509824072936,0.43435702204424903,0.17607539187290708,0.09073849252571324,0.9024047994737173,0.28788300494655067,0.18239731944451362,0.43054835709964545,0.6109130690742257,0.02815288766716606
active-exact-sensors,0,0.9466666666666665,0.9244444444444445,13.030617283950617,1.5614814814814815,15.592098765432098,0.93731119253,2.1972245773362196,0.2813005533322724,0.0,0.022554578240281883,0.812597385176754,0.43222329760140743,0.17921858929697077,0.0824237636862515,0.9716908290847021,0.2768211279244079,0.1680488490638963,0.2691455293669861,0.7361078766427098,0.02851987111934784
fixed-12,0,0.9772839506172841,0.9444444444444444,48.0,1.474320987654321,50.47432098765432,0.9688525860307851,2.1972245773362196,0.1245636873975586,0.021669430624654512,0.022554578240281883,0.967891917732428,0.40740369976965085,0.06979927223760857,0.04185603448125425,0.9924878278686124,0.31108443373521305,0.20711370518920716,0.9750757030565007,0.0,0.0
entropy,0,0.9666666666666668,0.9244444444444443,17.160740740740742,1.4945679012345678,19.65530864197531,0.9616501901681278,2.1972245773362196,0.2016941113174162,0.021669430624654512,0.022554578240281883,0.91666378832764,0.4208430975013152,0.10577093609408217,0.05924652454548232,0.9828386662806756,0.2821831085856717,0.1767135881692906,0.5312338106068657,0.12337502889204977,0.06533080556645687
active-null,0,0.11283950617283951,0.0044444444444444444,0.8555555555555555,33.57679012345679,35.43234567901234,0.12441753542609334,2.1972245773362196,2.1920971503893623,0.03261470425649531,0.022554578240281883,-0.1188145101244657,0.4869510036998324,0.29627327423634675,0.1934177674105175,0.3869044755323351,0.2943138624060539,0.19146195560122653,0.48529802516028286,0.10582426108094582,0.8267702042741516
oracle,0,1.0,1.0,0.0,1.491604938271605,2.491604938271605,0.9911299830493226,2.7631021115928546e-13,0.06502524034367413,0.0,0.022554578240281883,0.994459255231676,0.41257495274288725,0.038217920659129476,0.03799962721124049,0.9986773076623142,0.11187680920351316,0.06921713428963334,0.9978104991880987,0.0,1.0
active,1,0.9355555555555556,0.9133333333333332,13.433086419753087,1.5637037037037036,15.99679012345679,0.9402648694195649,2.1972245773362196,0.2688593126301481,0.01859452736318409,0.0242961265279154,0.7845078245704838,0.444631038481195,0.19837259118906983,0.09696647102651113,0.9619192541708375,0.2906043166437959,0.18026865383511528,0.13838229876721542,0.4948429607784922,0.02641246771014183
active-exact-sensors,1,0.9414814814814816,0.8911111111111111,13.117283950617283,1.5750617283950616,15.692345679012346,0.9374983376041218,2.1972245773362196,0.28015917041513466,0.0,0.0242961265279154,0.6287077068608532,0.450904375237795,0.20380997950378607,0.09514790943898822,0.8265766507903767,0.2753696631877103,0.17299170261473196,0.46429240524820947,0.6279451680597065,0.03254216935876297
fixed-12,1,0.9743209876543208,0.9533333333333334,48.0,1.505679012345679,50.50567901234568,0.9679541099800584,2.1972245773362196,0.128104762615722,0.01859452736318409,0.0242961265279154,0.9591348170361209,0.40219086175422253,0.0710052716145919,0.043620008882357925,0.9930725251878224,0.3104341484452526,0.2063998768594917,0.9750851116460078,0.0,0.0
entropy,1,0.9671604938271605,0.9266666666666666,16.626666666666665,1.4965432098765432,19.12320987654321,0.9621141525787861,2.1972245773362196,0.20218558828704966,0.01859452736318409,0.0242961265279154,0.9286354431456041,0.4261130397430864,0.10869834411762234,0.05003592441873401,0.9913578687522994,0.2736091112943521,0.16885090703948363,0.6660257415635118,0.22656207901833125,0.0327131007457413
active-null,1,0.10839506172839508,0.02,0.6992592592592592,39.80493827160494,41.5041975308642,0.12049984806187096,2.1972245773362196,2.1933910527288325,0.026672194582642354,0.0242961265279154,0.24034262231935113,0.4930832534702756,0.2985843763936764,0.19268867487264787,0.07613503227944973,0.2963944523745358,0.19196570756975215,0.07473736747738557,0.06266076753145226,0.8333669313535085
oracle,1,1.0,1.0,0.0,1.4641975308641975,2.4641975308641975,0.9913449982860613,2.7631021115928546e-13,0.06351833098276288,0.0,0.0242961265279154,0.9952795927377771,0.40628329069859037,0.05540240798301375,0.05304855097786259,0.9996269782974979,0.11952927456109959,0.06971064511914253,0.9985855716043194,0.0,1.0
active,2,0.9397530864197532,0.9111111111111112,13.608641975308641,1.5923456790123456,16.200987654320986,0.9459159744761603,2.1972245773362196,0.2470296112303168,0.029691818684355973,0.019225236758066273,0.7035680446676831,0.45278034713498,0.20382929590001067,0.10406918930109248,0.8351120089950224,0.27987380672341017,0.18071301974659212,0.26112465747979796,0.634902328225155,0.04114258605595322
active-exact-sensors,2,0.9395061728395061,0.8955555555555557,13.058024691358025,1.5528395061728395,15.610864197530864,0.936673492605137,2.1972245773362196,0.28222627428135183,0.0,0.019225236758066273,0.6400980601917691,0.45715115380106797,0.19832037812448677,0.10064078300545223,0.7677613661744426,0.28578284863760905,0.1865839098968185,0.5908749678964245,0.679661772904317,0.021154025342196014
fixed-12,2,0.9765432098765433,0.9644444444444444,48.0,1.4807407407407407,50.48074074074074,0.9672352992027926,2.1972245773362196,0.12839076557336315,0.029691818684355973,0.019225236758066273,0.9604110752575795,0.41938659019160107,0.09519735185179237,0.0774444173434417,0.9937876164701304,0.3095181761259155,0.2058071898184575,0.9751848453521774,0.0,0.0
entropy,2,0.9602469135802469,0.9288888888888889,16.101728395061727,1.4908641975308643,18.59259259259259,0.9611370023782974,2.1972245773362196,0.20576439261198157,0.029691818684355973,0.019225236758066273,0.940484438650551,0.41840036740870246,0.11812171479605976,0.0705274102783547,0.9869291119262824,0.2836000043167748,0.17995966600637744,0.6859838902009844,0.4931814699911456,0.013884234952071028
