action,action_name,outcome,goal_id,goal_name,mean_delta_distance,samples
0,Z,0,0,Z0,-3.2762949083043242,174
0,Z,0,1,X0,0.3147927152699438,174
0,Z,0,2,Y0,0.3399256043050481,174
0,Z,0,3,SIC0,0.3774906849039012,174
0,Z,0,4,SIC1,0.45489366575219164,174
0,Z,0,5,SIC2,0.36192974276926326,174
0,Z,0,6,SIC3,0.351940788071731,174
0,Z,0,7,Z0_SIC0,-0.2607813484367283,174
0,Z,0,8,SIC0_X0,0.29509107545874586,174
0,Z,1,0,Z0,0.6224174620998892,157
0,Z,1,1,X0,0.5809779076059912,157
0,Z,1,2,Y0,0.6391741090519413,157
0,Z,1,3,SIC0,0.6334054151158424,157
0,Z,1,4,SIC1,0.6084086333110834,157
0,Z,1,5,SIC2,0.51057880243678,157
0,Z,1,6,SIC3,0.586952060650868,157
0,Z,1,7,Z0_SIC0,0.6677762687585915,157
0,Z,1,8,SIC0_X0,0.60021054516932,157
1,X,0,0,Z0,0.421047920650906,90
1,X,0,1,X0,-5.182807710435656,90
1,X,0,2,Y0,0.4399802843729655,90
1,X,0,3,SIC0,0.34609711435106066,90
1,X,0,4,SIC1,0.42430440584818524,90
1,X,0,5,SIC2,0.4140035523308648,90
1,X,0,6,SIC3,0.4184724489847819,90
1,X,0,7,Z0_SIC0,0.40924293200174966,90
1,X,0,8,SIC0_X0,-1.949246957567003,90
1,X,1,0,Z0,0.4298466821996177,123
1,X,1,1,X0,0.5263600659564258,123
1,X,1,2,Y0,0.4058627733370153,123
1,X,1,3,SIC0,0.3471237198124087,123
1,X,1,4,SIC1,0.36420877193047746,123
1,X,1,5,SIC2,0.33728615442911786,123
1,X,1,6,SIC3,0.357511043548584,123
1,X,1,7,Z0_SIC0,0.38145337066030116,123
1,X,1,8,SIC0_X0,0.5680350985953478,123
2,Y,0,0,Z0,0.0,0
2,Y,0,1,X0,0.0,0
2,Y,0,2,Y0,0.0,0
2,Y,0,3,SIC0,0.0,0
2,Y,0,4,SIC1,0.0,0
2,Y,0,5,SIC2,0.0,0
2,Y,0,6,SIC3,0.0,0
2,Y,0,7,Z0_SIC0,0.0,0
2,Y,0,8,SIC0_X0,0.0,0
2,Y,1,0,Z0,0.0,0
2,Y,1,1,X0,0.0,0
2,Y,1,2,Y0,0.0,0
2,Y,1,3,SIC0,0.0,0
2,Y,1,4,SIC1,0.0,0
2,Y,1,5,SIC2,0.0,0
2,Y,1,6,SIC3,0.0,0
2,Y,1,7,Z0_SIC0,0.0,0
2,Y,1,8,SIC0_X0,0.0,0
3,tetra-SIC,0,0,Z0,0.3114186942577362,400
3,tetra-SIC,0,1,X0,0.29489207148551944,400
3,tetra-SIC,0,2,Y0,0.30931944370269776,400
3,tetra-SIC,0,3,SIC0,-2.627624102830887,400
3,tetra-SIC,0,4,SIC1,0.3636393117904663,400
3,tetra-SIC,0,5,SIC2,0.28703992247581483,400
3,tetra-SIC,0,6,SIC3,0.31546852111816404,400
3,tetra-SIC,0,7,Z0_SIC0,-0.340547034740448,400
3,tetra-SIC,0,8,SIC0_X0,-0.37764985918998717,400
3,tetra-SIC,1,0,Z0,0.55171805305257,511
3,tetra-SIC,1,1,X0,0.5437105378526065,511
3,tetra-SIC,1,2,Y0,0.5959023622150758,511
3,tetra-SIC,1,3,SIC0,0.49565604614884884,511
3,tetra-SIC,1,4,SIC1,-2.044776083205311,511
3,tetra-SIC,1,5,SIC2,0.41534718608669574,511
3,tetra-SIC,1,6,SIC3,0.47917231841563246,511
3,tetra-SIC,1,7,Z0_SIC0,0.5862341043767164,511
3,tetra-SIC,1,8,SIC0_X0,0.5587652228816381,511
3,tetra-SIC,2,0,Z0,0.1596473082471031,521
3,tetra-SIC,2,1,X0,0.1481200875339032,521
3,tetra-SIC,2,2,Y0,0.14904055394046367,521
3,tetra-SIC,2,3,SIC0,0.17065302195338508,521
3,tetra-SIC,2,4,SIC1,0.21526223089324306,521
3,tetra-SIC,2,5,SIC2,-1.8859066624559047,521
3,tetra-SIC,2,6,SIC3,0.21566747932653738,521
3,tetra-SIC,2,7,Z0_SIC0,0.1454356165170212,521
3,tetra-SIC,2,8,SIC0_X0,0.13141640500235238,521
3,tetra-SIC,3,0,Z0,0.3326056184257465,541
3,tetra-SIC,3,1,X0,0.376750117529342,541
3,tetra-SIC,3,2,Y0,0.40330039903989784,541
3,tetra-SIC,3,3,SIC0,0.35100666740685427,541
3,tetra-SIC,3,4,SIC1,0.3733039105004612,541
3,tetra-SIC,3,5,SIC2,0.3001322340833061,541
3,tetra-SIC,3,6,SIC3,-2.134062785538199,541
3,tetra-SIC,3,7,Z0_SIC0,0.3936604624975631,541
3,tetra-SIC,3,8,SIC0_X0,0.36511190188790427,541
