goal_id,goal_name,horizon,success_probability
0,Z0,1,0.4
0,Z0,2,0.4
0,Z0,3,0.6
0,Z0,4,0.6
0,Z0,5,0.7
0,Z0,6,0.7
0,Z0,7,0.825
0,Z0,8,0.825
0,Z0,9,0.95
0,Z0,10,0.95
0,Z0,11,0.975
0,Z0,12,0.975
0,Z0,13,1.0
0,Z0,14,1.0
0,Z0,15,1.0
1,X0,1,0.55
1,X0,2,0.55
1,X0,3,0.7
1,X0,4,0.7
1,X0,5,0.825
1,X0,6,0.825
1,X0,7,0.85
1,X0,8,0.85
1,X0,9,0.9
1,X0,10,0.9
1,X0,11,0.9
1,X0,12,0.9
1,X0,13,0.925
1,X0,14,0.925
1,X0,15,0.95
2,Y0,1,0.0
2,Y0,2,0.0
2,Y0,3,0.0
2,Y0,4,0.0
2,Y0,5,0.0
2,Y0,6,0.0
2,Y0,7,0.0
2,Y0,8,0.0
2,Y0,9,0.0
2,Y0,10,0.0
2,Y0,11,0.0
2,Y0,12,0.0
2,Y0,13,0.0
2,Y0,14,0.0
2,Y0,15,0.0
3,SIC0,1,0.2
3,SIC0,2,0.4
3,SIC0,3,0.475
3,SIC0,4,0.475
3,SIC0,5,0.575
3,SIC0,6,0.65
3,SIC0,7,0.7
3,SIC0,8,0.725
3,SIC0,9,0.775
3,SIC0,10,0.85
3,SIC0,11,0.85
3,SIC0,12,0.85
3,SIC0,13,0.85
3,SIC0,14,0.875
3,SIC0,15,0.875
4,SIC1,1,0.3
4,SIC1,2,0.475
4,SIC1,3,0.6
4,SIC1,4,0.625
4,SIC1,5,0.7
4,SIC1,6,0.8
4,SIC1,7,0.825
4,SIC1,8,0.85
4,SIC1,9,0.9
4,SIC1,10,0.95
4,SIC1,11,0.95
4,SIC1,12,0.95
4,SIC1,13,0.95
4,SIC1,14,0.95
4,SIC1,15,0.95
5,SIC2,1,0.0
5,SIC2,2,0.2
5,SIC2,3,0.2
5,SIC2,4,0.375
5,SIC2,5,0.475
5,SIC2,6,0.55
5,SIC2,7,0.6
5,SIC2,8,0.6
5,SIC2,9,0.675
5,SIC2,10,0.7
5,SIC2,11,0.7
5,SIC2,12,0.7
5,SIC2,13,0.725
5,SIC2,14,0.725
5,SIC2,15,0.775
6,SIC3,1,0.325
6,SIC3,2,0.45
6,SIC3,3,0.575
6,SIC3,4,0.625
6,SIC3,5,0.625
6,SIC3,6,0.75
6,SIC3,7,0.825
6,SIC3,8,0.875
6,SIC3,9,0.9
6,SIC3,10,0.925
6,SIC3,11,0.925
6,SIC3,12,0.925
6,SIC3,13,0.95
6,SIC3,14,0.95
6,SIC3,15,0.95
7,Z0_SIC0,1,0.0
7,Z0_SIC0,2,0.0
7,Z0_SIC0,3,0.225
7,Z0_SIC0,4,0.25
7,Z0_SIC0,5,0.275
7,Z0_SIC0,6,0.325
7,Z0_SIC0,7,0.375
7,Z0_SIC0,8,0.425
7,Z0_SIC0,9,0.45
7,Z0_SIC0,10,0.475
7,Z0_SIC0,11,0.55
7,Z0_SIC0,12,0.6
7,Z0_SIC0,13,0.65
7,Z0_SIC0,14,0.75
7,Z0_SIC0,15,0.8
8,SIC0_X0,1,0.0
8,SIC0_X0,2,0.2
8,SIC0_X0,3,0.3
8,SIC0_X0,4,0.35
8,SIC0_X0,5,0.4
8,SIC0_X0,6,0.5
8,SIC0_X0,7,0.5
8,SIC0_X0,8,0.575
8,SIC0_X0,9,0.575
8,SIC0_X0,10,0.575
8,SIC0_X0,11,0.575
8,SIC0_X0,12,0.65
8,SIC0_X0,13,0.675
8,SIC0_X0,14,0.725
8,SIC0_X0,15,0.75
