goal_id,goal_name,horizon,success_probability
0,Z0,1,0.35
0,Z0,2,0.35
0,Z0,3,0.35
0,Z0,4,0.625
0,Z0,5,0.625
0,Z0,6,0.85
0,Z0,7,0.85
0,Z0,8,0.975
0,Z0,9,0.975
0,Z0,10,0.975
0,Z0,11,0.975
0,Z0,12,1.0
0,Z0,13,1.0
0,Z0,14,1.0
0,Z0,15,1.0
1,X0,1,0.0
1,X0,2,0.35
1,X0,3,0.35
1,X0,4,0.55
1,X0,5,0.55
1,X0,6,0.825
1,X0,7,0.825
1,X0,8,0.95
1,X0,9,0.95
1,X0,10,0.975
1,X0,11,0.975
1,X0,12,1.0
1,X0,13,1.0
1,X0,14,1.0
1,X0,15,1.0
2,Y0,1,1.0
2,Y0,2,1.0
2,Y0,3,1.0
2,Y0,4,1.0
2,Y0,5,1.0
2,Y0,6,1.0
2,Y0,7,1.0
2,Y0,8,1.0
2,Y0,9,1.0
2,Y0,10,1.0
2,Y0,11,1.0
2,Y0,12,1.0
2,Y0,13,1.0
2,Y0,14,1.0
2,Y0,15,1.0
3,Z0_X0,1,0.0
3,Z0_X0,2,0.2
3,Z0_X0,3,0.2
3,Z0_X0,4,0.3
3,Z0_X0,5,0.3
3,Z0_X0,6,0.625
3,Z0_X0,7,0.625
3,Z0_X0,8,0.8
3,Z0_X0,9,0.8
3,Z0_X0,10,0.875
3,Z0_X0,11,0.875
3,Z0_X0,12,0.95
3,Z0_X0,13,0.95
3,Z0_X0,14,0.975
3,Z0_X0,15,0.975
4,X0_Z0,1,0.0
4,X0_Z0,2,0.0
4,X0_Z0,3,0.0
4,X0_Z0,4,0.175
4,X0_Z0,5,0.175
4,X0_Z0,6,0.45
4,X0_Z0,7,0.45
4,X0_Z0,8,0.775
4,X0_Z0,9,0.775
4,X0_Z0,10,0.85
4,X0_Z0,11,0.85
4,X0_Z0,12,0.95
4,X0_Z0,13,0.95
4,X0_Z0,14,0.975
4,X0_Z0,15,0.975
5,Y0_X1,1,0.0
5,Y0_X1,2,0.475
5,Y0_X1,3,0.475
5,Y0_X1,4,0.8
5,Y0_X1,5,0.8
5,Y0_X1,6,0.925
5,Y0_X1,7,0.925
5,Y0_X1,8,0.925
5,Y0_X1,9,0.925
5,Y0_X1,10,0.95
5,Y0_X1,11,0.95
5,Y0_X1,12,0.95
5,Y0_X1,13,0.95
5,Y0_X1,14,1.0
5,Y0_X1,15,1.0
6,Z0_X0_Y0,1,0.0
6,Z0_X0_Y0,2,0.0
6,Z0_X0_Y0,3,0.0
6,Z0_X0_Y0,4,0.0
6,Z0_X0_Y0,5,0.125
6,Z0_X0_Y0,6,0.125
6,Z0_X0_Y0,7,0.3
6,Z0_X0_Y0,8,0.3
6,Z0_X0_Y0,9,0.325
6,Z0_X0_Y0,10,0.4
6,Z0_X0_Y0,11,0.4
6,Z0_X0_Y0,12,0.5
6,Z0_X0_Y0,13,0.6
6,Z0_X0_Y0,14,0.65
6,Z0_X0_Y0,15,0.775
