action,action_name,outcome,goal_id,goal_name,mean_delta_distance,samples
0,Z,0,0,Z0,-3.329555506682276,199
0,Z,0,1,X0,0.28946492899602383,199
0,Z,0,2,Y0,0.4276630650812657,199
0,Z,0,3,Z0_X0,-0.6111033046664904,199
0,Z,0,4,X0_Z0,-1.3607993964573846,199
0,Z,0,5,Y0_X1,0.28562655520798574,199
0,Z,0,6,Z0_X0_Y0,-0.44451421469300234,199
0,Z,1,0,Z0,0.7240503122852107,157
0,Z,1,1,X0,0.2949431656272548,157
0,Z,1,2,Y0,0.43864803253465395,157
0,Z,1,3,Z0_X0,0.6011733249494224,157
0,Z,1,4,X0_Z0,0.9248684925638186,157
0,Z,1,5,Y0_X1,0.3722910668439926,157
0,Z,1,6,Z0_X0_Y0,0.3519930171359117,157
1,X,0,0,Z0,-0.0659444651952604,164
1,X,0,1,X0,-3.726723066190394,164
1,X,0,2,Y0,0.051715513555015004,164
1,X,0,3,Z0_X0,-2.276735567465061,164
1,X,0,4,X0_Z0,-1.0923209568349326,164
1,X,0,5,Y0_X1,0.29074688364819784,164
1,X,0,6,Z0_X0_Y0,0.30326129750507635,164
1,X,1,0,Z0,-0.06481512033255996,157
1,X,1,1,X0,0.31529229765485045,157
1,X,1,2,Y0,0.03584236703860532,157
1,X,1,3,Z0_X0,0.09578299066823,157
1,X,1,4,X0_Z0,-0.2514702529664252,157
1,X,1,5,Y0_X1,-2.269548455621027,157
1,X,1,6,Z0_X0_Y0,0.22257984671623085,157
2,Y,0,0,Z0,0.2546886420553089,1337
2,Y,0,1,X0,0.2685447441791543,1337
2,Y,0,2,Y0,-0.4063320113547988,1337
2,Y,0,3,Z0_X0,0.25877965058331714,1337
2,Y,0,4,X0_Z0,0.2597047321459386,1337
2,Y,0,5,Y0_X1,0.05056851964078916,1337
2,Y,0,6,Z0_X0_Y0,0.2550825430728111,1337
2,Y,1,0,Z0,-0.16824518309699166,18
2,Y,1,1,X0,0.324026452170478,18
2,Y,1,2,Y0,0.11064595646328396,18
2,Y,1,3,Z0_X0,0.031754785113864474,18
2,Y,1,4,X0_Z0,-0.09333692656622992,18
2,Y,1,5,Y0_X1,0.05554972754584418,18
2,Y,1,6,Z0_X0_Y0,0.11035895347595215,18
