action,action_name,outcome,goal_id,goal_name,mean_delta_distance,samples
0,weak-Z,0,0,wZ0,-2.9977314508878266,260
0,weak-Z,0,1,wX0,0.6730168232550988,260
0,weak-Z,0,2,wY0,0.6331609634252695,260
0,weak-Z,0,3,wZ0_wX0,0.2903922429451576,260
0,weak-Z,0,4,wX0_wZ0,-0.46526534373943623,260
0,weak-Z,0,5,wZ0_wX0_wY0,0.26388618212479814,260
0,weak-Z,1,0,wZ0,0.3427670492112429,287
0,weak-Z,1,1,wX0,0.3658941548045089,287
0,weak-Z,1,2,wY0,0.3106397951106161,287
0,weak-Z,1,3,wZ0_wX0,0.30577900683838316,287
0,weak-Z,1,4,wX0_wZ0,0.34208119621675603,287
0,weak-Z,1,5,wZ0_wX0_wY0,0.31180552240032766,287
1,weak-X,0,0,wZ0,0.37570190942415627,186
1,weak-X,0,1,wX0,-3.884970206086354,186
1,weak-X,0,2,wY0,0.7330682995498822,186
1,weak-X,0,3,wZ0_wX0,-2.1506839541978735,186
1,weak-X,0,4,wX0_wZ0,0.09354210925358598,186
1,weak-X,0,5,wZ0_wX0_wY0,0.3186917663902365,186
1,weak-X,1,0,wZ0,0.24361969124187122,220
1,weak-X,1,1,wX0,0.5403819235888394,220
1,weak-X,1,2,wY0,0.4827478235418146,220
1,weak-X,1,3,wZ0_wX0,0.5737143971703269,220
1,weak-X,1,4,wX0_wZ0,0.4269007899544456,220
1,weak-X,1,5,wZ0_wX0_wY0,0.4805278344587846,220
2,weak-Y,0,0,wZ0,0.33241887135548637,111
2,weak-Y,0,1,wX0,0.31619850794474286,111
2,weak-Y,0,2,wY0,-5.002820354324204,111
2,weak-Y,0,3,wZ0_wX0,0.3037677176363833,111
2,weak-Y,0,4,wX0_wZ0,0.2878495164819666,111
2,weak-Y,0,5,wZ0_wX0_wY0,-1.3050994185714033,111
2,weak-Y,1,0,wZ0,0.17547698865962935,158
2,weak-Y,1,1,wX0,0.16530556316617168,158
2,weak-Y,1,2,wY0,0.15419027473353134,158
2,weak-Y,1,3,wZ0_wX0,0.16402413120752649,158
2,weak-Y,1,4,wX0_wZ0,0.15708797491049464,158
2,weak-Y,1,5,wZ0_wX0_wY0,0.13675400577014005,158
