goal_id,goal_name,horizon,success_probability
0,wZ0,1,0.475
0,wZ0,2,0.675
0,wZ0,3,0.8
0,wZ0,4,0.825
0,wZ0,5,0.875
0,wZ0,6,0.925
0,wZ0,7,0.925
0,wZ0,8,0.925
0,wZ0,9,0.925
0,wZ0,10,0.925
0,wZ0,11,0.95
0,wZ0,12,0.95
0,wZ0,13,0.975
0,wZ0,14,0.975
0,wZ0,15,1.0
1,wX0,1,0.55
1,wX0,2,0.75
1,wX0,3,0.85
1,wX0,4,0.925
1,wX0,5,0.925
1,wX0,6,0.925
1,wX0,7,0.95
1,wX0,8,0.975
1,wX0,9,0.975
1,wX0,10,0.975
1,wX0,11,0.975
1,wX0,12,1.0
1,wX0,13,1.0
1,wX0,14,1.0
1,wX0,15,1.0
2,wY0,1,0.625
2,wY0,2,0.775
2,wY0,3,0.775
2,wY0,4,0.8
2,wY0,5,0.9
2,wY0,6,0.975
2,wY0,7,0.975
2,wY0,8,0.975
2,wY0,9,1.0
2,wY0,10,1.0
2,wY0,11,1.0
2,wY0,12,1.0
2,wY0,13,1.0
2,wY0,14,1.0
2,wY0,15,1.0
3,wZ0_wX0,1,0.0
3,wZ0_wX0,2,0.25
3,wZ0_wX0,3,0.3
3,wZ0_wX0,4,0.45
3,wZ0_wX0,5,0.475
3,wZ0_wX0,6,0.625
3,wZ0_wX0,7,0.65
3,wZ0_wX0,8,0.7
3,wZ0_wX0,9,0.7
3,wZ0_wX0,10,0.75
3,wZ0_wX0,11,0.775
3,wZ0_wX0,12,0.8
3,wZ0_wX0,13,0.8
3,wZ0_wX0,14,0.8
3,wZ0_wX0,15,0.8
4,wX0_wZ0,1,0.0
4,wX0_wZ0,2,0.0
4,wX0_wZ0,3,0.325
4,wX0_wZ0,4,0.425
4,wX0_wZ0,5,0.425
4,wX0_wZ0,6,0.425
4,wX0_wZ0,7,0.525
4,wX0_wZ0,8,0.575
4,wX0_wZ0,9,0.6
4,wX0_wZ0,10,0.625
4,wX0_wZ0,11,0.675
4,wX0_wZ0,12,0.725
4,wX0_wZ0,13,0.725
4,wX0_wZ0,14,0.725
4,wX0_wZ0,15,0.725
5,wZ0_wX0_wY0,1,0.0
5,wZ0_wX0_wY0,2,0.0
5,wZ0_wX0_wY0,3,0.175
5,wZ0_wX0_wY0,4,0.275
5,wZ0_wX0_wY0,5,0.4
5,wZ0_wX0_wY0,6,0.425
5,wZ0_wX0_wY0,7,0.5
5,wZ0_wX0_wY0,8,0.6
5,wZ0_wX0_wY0,9,0.65
5,wZ0_wX0_wY0,10,0.7
5,wZ0_wX0_wY0,11,0.75
5,wZ0_wX0_wY0,12,0.8
5,wZ0_wX0_wY0,13,0.8
5,wZ0_wX0_wY0,14,0.825
5,wZ0_wX0_wY0,15,0.825
