action,action_name,outcome,goal_id,goal_name,mean_delta_distance,samples
0,Z,0,0,Z0,-3.865405387934682,339
0,Z,0,1,Z1,0.14409277361754472,339
0,Z,0,2,X0,-0.022705891139387733,339
0,Z,0,3,X1,-0.07902299830343872,339
0,Z,0,4,Z0_X0,-0.7909167748285254,339
0,Z,0,5,X0_Z0,-2.060842273509608,339
0,Z,0,6,weakZ0_Z0,0.35381348083856184,339
0,Z,1,0,Z0,1.2103921502391248,477
0,Z,1,1,Z1,-1.703321375936832,477
0,Z,1,2,X0,1.0073479626413662,477
0,Z,1,3,X1,0.9645873795515336,477
0,Z,1,4,Z0_X0,1.1335556752026956,477
0,Z,1,5,X0_Z0,1.1930283710391767,477
0,Z,1,6,weakZ0_Z0,1.1977914184394371,477
1,X,0,0,Z0,0.3275819548641343,415
1,X,0,1,Z1,0.1591055588549878,415
1,X,0,2,X0,-2.610077622425125,415
1,X,0,3,X1,0.47345614031136757,415
1,X,0,4,Z0_X0,-0.9603216596396572,415
1,X,0,5,X0_Z0,-0.36276992947222236,415
1,X,0,6,weakZ0_Z0,0.21801681173853127,415
1,X,1,0,Z0,0.23664046816257614,386
1,X,1,1,Z1,0.12580745887262215,386
1,X,1,2,X0,0.28481568079538294,386
1,X,1,3,X1,-2.1850463701653355,386
1,X,1,4,Z0_X0,0.37590902951097244,386
1,X,1,5,X0_Z0,0.23077947179270533,386
1,X,1,6,weakZ0_Z0,0.11236779306836696,386
2,weak-Z,0,0,Z0,0.0,0
2,weak-Z,0,1,Z1,0.0,0
2,weak-Z,0,2,X0,0.0,0
2,weak-Z,0,3,X1,0.0,0
2,weak-Z,0,4,Z0_X0,0.0,0
2,weak-Z,0,5,X0_Z0,0.0,0
2,weak-Z,0,6,weakZ0_Z0,0.0,0
2,weak-Z,1,0,Z0,0.0,0
2,weak-Z,1,1,Z1,0.0,0
2,weak-Z,1,2,X0,0.0,0
2,weak-Z,1,3,X1,0.0,0
2,weak-Z,1,4,Z0_X0,0.0,0
2,weak-Z,1,5,X0_Z0,0.0,0
2,weak-Z,1,6,weakZ0_Z0,0.0,0
