goal_id,goal_name,horizon,success_probability
0,Z0,1,0.0
0,Z0,2,0.0
0,Z0,3,0.525
0,Z0,4,0.525
0,Z0,5,0.85
0,Z0,6,0.85
0,Z0,7,0.95
0,Z0,8,0.95
0,Z0,9,0.975
0,Z0,10,0.975
0,Z0,11,0.975
0,Z0,12,0.975
0,Z0,13,0.975
0,Z0,14,0.975
0,Z0,15,1.0
1,Z1,1,1.0
1,Z1,2,1.0
1,Z1,3,1.0
1,Z1,4,1.0
1,Z1,5,1.0
1,Z1,6,1.0
1,Z1,7,1.0
1,Z1,8,1.0
1,Z1,9,1.0
1,Z1,10,1.0
1,Z1,11,1.0
1,Z1,12,1.0
1,Z1,13,1.0
1,Z1,14,1.0
1,Z1,15,1.0
2,X0,1,0.0
2,X0,2,0.625
2,X0,3,0.625
2,X0,4,0.825
2,X0,5,0.825
2,X0,6,1.0
2,X0,7,1.0
2,X0,8,1.0
2,X0,9,1.0
2,X0,10,1.0
2,X0,11,1.0
2,X0,12,1.0
2,X0,13,1.0
2,X0,14,1.0
2,X0,15,1.0
3,X1,1,0.475
3,X1,2,0.475
3,X1,3,0.725
3,X1,4,0.725
3,X1,5,0.775
3,X1,6,0.825
3,X1,7,0.875
3,X1,8,0.9
3,X1,9,0.9
3,X1,10,0.9
3,X1,11,0.9
3,X1,12,0.925
3,X1,13,0.925
3,X1,14,0.925
3,X1,15,0.975
4,Z0_X0,1,0.0
4,Z0_X0,2,0.0
4,Z0_X0,3,0.4
4,Z0_X0,4,0.4
4,Z0_X0,5,0.4
4,Z0_X0,6,0.625
4,Z0_X0,7,0.625
4,Z0_X0,8,0.65
4,Z0_X0,9,0.7
4,Z0_X0,10,0.7
4,Z0_X0,11,0.775
4,Z0_X0,12,0.85
4,Z0_X0,13,0.85
4,Z0_X0,14,0.85
4,Z0_X0,15,0.9
5,X0_Z0,1,0.0
5,X0_Z0,2,0.0
5,X0_Z0,3,0.325
5,X0_Z0,4,0.325
5,X0_Z0,5,0.65
5,X0_Z0,6,0.65
5,X0_Z0,7,0.775
5,X0_Z0,8,0.775
5,X0_Z0,9,0.875
5,X0_Z0,10,0.875
5,X0_Z0,11,0.95
5,X0_Z0,12,0.95
5,X0_Z0,13,0.975
5,X0_Z0,14,0.975
5,X0_Z0,15,1.0
6,weakZ0_Z0,1,0.0
6,weakZ0_Z0,2,0.0
6,weakZ0_Z0,3,0.0
6,weakZ0_Z0,4,0.0
6,weakZ0_Z0,5,0.0
6,weakZ0_Z0,6,0.0
6,weakZ0_Z0,7,0.0
6,weakZ0_Z0,8,0.0
6,weakZ0_Z0,9,0.0
6,weakZ0_Z0,10,0.0
6,weakZ0_Z0,11,0.0
6,weakZ0_Z0,12,0.0
6,weakZ0_Z0,13,0.0
6,weakZ0_Z0,14,0.0
6,weakZ0_Z0,15,0.0
