action,action_name,outcome,goal_id,goal_name,mean_delta_distance,samples
0,Z,0,0,Z0,-3.3032024309668744,284
0,Z,0,1,Z1,0.7644660254599343,284
0,Z,0,2,X0,0.41488769104782963,284
0,Z,0,3,X1,0.15932123761781505,284
0,Z,0,4,Z0_X0,-0.7228676584404958,284
0,Z,0,5,X0_Z0,-1.5207269426802514,284
0,Z,0,6,weakZ0_Z0,0.43061207213871916,284
0,Z,1,0,Z0,0.8084913130637046,333
0,Z,1,1,Z1,-2.2811756205630376,333
0,Z,1,2,X0,0.5819681263542749,333
0,Z,1,3,X1,0.4327013428146775,333
0,Z,1,4,Z0_X0,0.4966478562569833,333
0,Z,1,5,X0_Z0,0.8170609058918538,333
0,Z,1,6,weakZ0_Z0,0.9658284402108407,333
1,X,0,0,Z0,0.21906327894646255,311
1,X,0,1,Z1,0.20989351640560236,311
1,X,0,2,X0,-2.1855166870681417,311
1,X,0,3,X1,0.8770816517796164,311
1,X,0,4,Z0_X0,-0.636598036603529,311
1,X,0,5,X0_Z0,-0.279643135438778,311
1,X,0,6,weakZ0_Z0,0.12560185588824405,311
1,X,1,0,Z0,-0.11958198431061536,164
1,X,1,1,Z1,-0.06902492046356201,164
1,X,1,2,X0,-0.018701791763305664,164
1,X,1,3,X1,-3.4132730321186346,164
1,X,1,4,Z0_X0,0.4751070795989618,164
1,X,1,5,X0_Z0,-0.041914527009173135,164
1,X,1,6,weakZ0_Z0,-0.18118300961285103,164
2,weak-Z,0,0,Z0,0.2780928730964661,40
2,weak-Z,0,1,Z1,0.523692512512207,40
2,weak-Z,0,2,X0,0.21226886510849,40
2,weak-Z,0,3,X1,0.8510509729385376,40
2,weak-Z,0,4,Z0_X0,0.8237261295318603,40
2,weak-Z,0,5,X0_Z0,0.5405683755874634,40
2,weak-Z,0,6,weakZ0_Z0,-0.6100176692008972,40
2,weak-Z,1,0,Z0,-0.24291910443987166,119
2,weak-Z,1,1,Z1,0.10980590050961792,119
2,weak-Z,1,2,X0,-0.2006006280915076,119
2,weak-Z,1,3,X1,0.048584180719712204,119
2,weak-Z,1,4,Z0_X0,-0.064282437332538,119
2,weak-Z,1,5,X0_Z0,-0.15659034552694368,119
2,weak-Z,1,6,weakZ0_Z0,-0.24810646762367056,119
