goal_id,goal_name,horizon,success_probability
0,Z0,1,0.5
0,Z0,2,0.5
0,Z0,3,0.775
0,Z0,4,0.775
0,Z0,5,0.95
0,Z0,6,0.95
0,Z0,7,0.975
0,Z0,8,0.975
0,Z0,9,0.975
0,Z0,10,0.975
0,Z0,11,0.975
0,Z0,12,0.975
0,Z0,13,0.975
0,Z0,14,0.975
0,Z0,15,1.0
1,Z1,1,0.55
1,Z1,2,0.55
1,Z1,3,0.75
1,Z1,4,0.75
1,Z1,5,0.825
1,Z1,6,0.825
1,Z1,7,0.875
1,Z1,8,0.875
1,Z1,9,0.9
1,Z1,10,0.9
1,Z1,11,0.975
1,Z1,12,0.975
1,Z1,13,1.0
1,Z1,14,1.0
1,Z1,15,1.0
2,X0,1,1.0
2,X0,2,1.0
2,X0,3,1.0
2,X0,4,1.0
2,X0,5,1.0
2,X0,6,1.0
2,X0,7,1.0
2,X0,8,1.0
2,X0,9,1.0
2,X0,10,1.0
2,X0,11,1.0
2,X0,12,1.0
2,X0,13,1.0
2,X0,14,1.0
2,X0,15,1.0
3,X1,1,0.0
3,X1,2,0.0
3,X1,3,0.5
3,X1,4,0.5
3,X1,5,0.675
3,X1,6,0.675
3,X1,7,0.825
3,X1,8,0.825
3,X1,9,0.9
3,X1,10,0.9
3,X1,11,0.975
3,X1,12,0.975
3,X1,13,0.975
3,X1,14,0.975
3,X1,15,0.975
4,Z0_X0,1,0.0
4,Z0_X0,2,0.0
4,Z0_X0,3,0.325
4,Z0_X0,4,0.325
4,Z0_X0,5,0.625
4,Z0_X0,6,0.625
4,Z0_X0,7,0.85
4,Z0_X0,8,0.85
4,Z0_X0,9,0.9
4,Z0_X0,10,0.9
4,Z0_X0,11,0.9
4,Z0_X0,12,0.9
4,Z0_X0,13,0.95
4,Z0_X0,14,0.95
4,Z0_X0,15,0.975
5,X0_Z0,1,0.0
5,X0_Z0,2,0.0
5,X0_Z0,3,0.425
5,X0_Z0,4,0.425
5,X0_Z0,5,0.7
5,X0_Z0,6,0.7
5,X0_Z0,7,0.8
5,X0_Z0,8,0.8
5,X0_Z0,9,0.875
5,X0_Z0,10,0.875
5,X0_Z0,11,0.95
5,X0_Z0,12,0.95
5,X0_Z0,13,0.975
5,X0_Z0,14,0.975
5,X0_Z0,15,1.0
6,weakZ0_Z0,1,0.0
6,weakZ0_Z0,2,0.575
6,weakZ0_Z0,3,0.575
6,weakZ0_Z0,4,0.575
6,weakZ0_Z0,5,0.575
6,weakZ0_Z0,6,0.575
6,weakZ0_Z0,7,0.575
6,weakZ0_Z0,8,0.575
6,weakZ0_Z0,9,0.575
6,weakZ0_Z0,10,0.575
6,weakZ0_Z0,11,0.575
6,weakZ0_Z0,12,0.575
6,weakZ0_Z0,13,0.575
6,weakZ0_Z0,14,0.575
6,weakZ0_Z0,15,0.575
