goal_id,goal_name,horizon,success_probability
0,Z0,1,0.0
0,Z0,2,0.0
0,Z0,3,0.0
0,Z0,4,0.275
0,Z0,5,0.275
0,Z0,6,0.275
0,Z0,7,0.475
0,Z0,8,0.475
0,Z0,9,0.475
0,Z0,10,0.475
0,Z0,11,0.475
0,Z0,12,0.475
0,Z0,13,0.475
0,Z0,14,0.475
0,Z0,15,0.475
1,Z1,1,0.0
1,Z1,2,0.0
1,Z1,3,0.0
1,Z1,4,0.375
1,Z1,5,0.375
1,Z1,6,0.5
1,Z1,7,0.5
1,Z1,8,0.675
1,Z1,9,0.675
1,Z1,10,0.825
1,Z1,11,0.825
1,Z1,12,0.9
1,Z1,13,0.9
1,Z1,14,0.925
1,Z1,15,0.925
2,Z2,1,1.0
2,Z2,2,1.0
2,Z2,3,1.0
2,Z2,4,1.0
2,Z2,5,1.0
2,Z2,6,1.0
2,Z2,7,1.0
2,Z2,8,1.0
2,Z2,9,1.0
2,Z2,10,1.0
2,Z2,11,1.0
2,Z2,12,1.0
2,Z2,13,1.0
2,Z2,14,1.0
2,Z2,15,1.0
3,F0,1,0.0
3,F0,2,0.325
3,F0,3,0.325
3,F0,4,0.575
3,F0,5,0.575
3,F0,6,0.675
3,F0,7,0.675
3,F0,8,0.75
3,F0,9,0.75
3,F0,10,0.825
3,F0,11,0.825
3,F0,12,0.85
3,F0,13,0.85
3,F0,14,0.9
3,F0,15,0.9
4,F1,1,0.0
4,F1,2,0.35
4,F1,3,0.35
4,F1,4,0.575
4,F1,5,0.575
4,F1,6,0.65
4,F1,7,0.65
4,F1,8,0.725
4,F1,9,0.725
4,F1,10,0.8
4,F1,11,0.8
4,F1,12,0.875
4,F1,13,0.875
4,F1,14,0.925
4,F1,15,0.925
5,Z0_F0,1,0.0
5,Z0_F0,2,0.0
5,Z0_F0,3,0.0
5,Z0_F0,4,0.05
5,Z0_F0,5,0.05
5,Z0_F0,6,0.225
5,Z0_F0,7,0.225
5,Z0_F0,8,0.55
5,Z0_F0,9,0.55
5,Z0_F0,10,0.65
5,Z0_F0,11,0.65
5,Z0_F0,12,0.75
5,Z0_F0,13,0.75
5,Z0_F0,14,0.825
5,Z0_F0,15,0.825
6,F0_Z0,1,0.0
6,F0_Z0,2,0.0
6,F0_Z0,3,0.125
6,F0_Z0,4,0.125
6,F0_Z0,5,0.275
6,F0_Z0,6,0.275
6,F0_Z0,7,0.45
6,F0_Z0,8,0.45
6,F0_Z0,9,0.6
6,F0_Z0,10,0.6
6,F0_Z0,11,0.725
6,F0_Z0,12,0.725
6,F0_Z0,13,0.75
6,F0_Z0,14,0.775
6,F0_Z0,15,0.825
7,Z0_F0_P0,1,0.0
7,Z0_F0_P0,2,0.0
7,Z0_F0_P0,3,0.0
7,Z0_F0_P0,4,0.0
7,Z0_F0_P0,5,0.0
7,Z0_F0_P0,6,0.0
7,Z0_F0_P0,7,0.0
7,Z0_F0_P0,8,0.0
7,Z0_F0_P0,9,0.0
7,Z0_F0_P0,10,0.0
7,Z0_F0_P0,11,0.0
7,Z0_F0_P0,12,0.0
7,Z0_F0_P0,13,0.0
7,Z0_F0_P0,14,0.0
7,Z0_F0_P0,15,0.0
