run_id,environment,initial_state,backend,seed,phase,goal_id,goal_name,episodes,success_rate,mean_steps_success,mean_reward
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,training,0,Z0,62,0.9032258064516129,5.767857142857143,8.97467741935484
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,training,1,Z1,65,0.9846153846153847,1.5625,9.838307692307692
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,training,2,X0,46,0.9130434782608695,4.428571428571429,9.08608695652174
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,training,3,X1,63,0.9206349206349206,6.0344827586206895,9.148095238095241
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,training,4,Z0_X0,64,0.625,7.65,7.004375
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,training,5,X0_Z0,50,0.62,6.67741935483871,7.036999999999999
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,training,6,weakZ0_Z0,50,0.64,8.65625,7.2262
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,training,-1,OVERALL,400,0.8075,5.414860681114551,8.379124999999998
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,evaluation,0,Z0,100,0.9,4.366666666666666,8.954699999999997
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,evaluation,1,Z1,100,1.0,1.0,10.0
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,evaluation,2,X0,100,0.89,3.3820224719101124,8.8623
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,evaluation,3,X1,100,0.92,4.760869565217392,9.1534
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,evaluation,4,Z0_X0,100,0.65,7.769230769230769,7.2115
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,evaluation,5,X0_Z0,100,0.67,7.059701492537314,7.5390999999999995
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,evaluation,6,weakZ0_Z0,100,0.7,7.714285714285714,7.8675
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,evaluation,-1,OVERALL,700,0.8185714285714286,4.799301919720768,8.512642857142856
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,training,0,Z0,55,0.7818181818181819,6.488372093023256,7.742545454545455
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,training,1,Z1,64,0.984375,1.2380952380952381,9.8390625
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,training,2,X0,57,0.8771929824561403,4.84,8.71982456140351
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,training,3,X1,54,0.8888888888888888,4.9375,8.837222222222223
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,training,4,Z0_X0,62,0.5645161290322581,7.914285714285715,6.322741935483871
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,training,5,X0_Z0,53,0.7924528301886793,6.023809523809524,8.806415094339624
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,training,6,weakZ0_Z0,55,0.5454545454545454,7.366666666666666,6.196363636363639
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,training,-1,OVERALL,400,0.7775,5.102893890675241,8.073325
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,evaluation,0,Z0,100,0.95,6.157894736842105,9.443500000000002
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,evaluation,1,Z1,100,1.0,1.0,10.0
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,evaluation,2,X0,100,0.87,5.114942528735632,8.644699999999998
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,evaluation,3,X1,100,0.85,6.047058823529412,8.4346
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,evaluation,4,Z0_X0,100,0.66,7.212121212121212,7.366500000000001
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,evaluation,5,X0_Z0,100,0.68,6.514705882352941,7.552800000000001
qubit-zx-weak__one__tabular__seed1,qubit-zx-weak,one,tabular,1,evaluation,6,weakZ0_Z0,100,0.6,7.533333333333333,6.829999999999999
