condition,seed,epoch,train_loss,test_accuracy,test_nll
full-history,0,1,2.1074333588282266,0.23055555555555557,1.9911774396896362
full-history,0,2,1.791432253519694,0.38,1.5214223861694336
full-history,0,3,1.298136329650879,0.6366666666666667,1.1072280406951904
full-history,0,4,0.9852967500686646,0.785,0.8889519572257996
full-history,0,5,0.8078477581342062,0.8016666666666666,0.7593753933906555
full-history,0,6,0.6982701420783997,0.8394444444444444,0.6402533054351807
full-history,0,7,0.591601836681366,0.865,0.5350807309150696
full-history,0,8,0.5052487552165985,0.8816666666666667,0.46671178936958313
full-history,0,9,0.4230082174142202,0.9183333333333333,0.3771367073059082
full-history,0,10,0.3324950675169627,0.93,0.304700642824173
full-history,0,11,0.282386115193367,0.9433333333333334,0.2527342736721039
full-history,0,12,0.20656881829102833,0.9588888888888889,0.19048576056957245
full-history,0,13,0.1743015060822169,0.96,0.15601718425750732
full-history,0,14,0.1509098713596662,0.9616666666666667,0.14933322370052338
full-history,0,15,0.14652049789826074,0.9533333333333334,0.16736219823360443
full-history,0,16,0.12924953550100327,0.9622222222222222,0.14321139454841614
full-history,0,17,0.12259764075279236,0.9583333333333334,0.1456441432237625
full-history,0,18,0.12623312299450237,0.9561111111111111,0.14394810795783997
full-history,0,19,0.12420143534739812,0.9611111111111111,0.1365882307291031
full-history,0,20,0.11224395036697388,0.9611111111111111,0.1238267570734024
full-history,0,21,0.1155937301615874,0.9616666666666667,0.12895256280899048
full-history,0,22,0.09374187911550204,0.9655555555555555,0.12135156989097595
full-history,0,23,0.09538246591885885,0.9705555555555555,0.10802295804023743
full-history,0,24,0.09417508368690809,0.9677777777777777,0.10271157324314117
full-history,0,25,0.08435443416237831,0.9666666666666667,0.10925467312335968
full-history,0,26,0.08876655002435048,0.9705555555555555,0.10102042555809021
full-history,0,27,0.08248348173995813,0.9638888888888889,0.11899898946285248
full-history,0,28,0.0790957843263944,0.9694444444444444,0.10347766429185867
full-history,0,29,0.08381996949513754,0.9655555555555555,0.11102023720741272
full-history,0,30,0.08998832652966181,0.9561111111111111,0.13994795083999634
full-history,0,31,0.09654838678737482,0.9672222222222222,0.10964322090148926
full-history,0,32,0.08237358033657075,0.9694444444444444,0.1002425104379654
full-history,0,33,0.07595997291306654,0.9672222222222222,0.11408086121082306
