condition,seed,all_pairs_success,reset_success,mean_movement_cost,mean_total_interventions,transition_tv_error,directionality,exact_cost_correlation,stress_1d,stress_2d,stress_3d,positive_variance_2d,negative_spectrum_fraction,coordinate_procrustes_r2,euclidean_distance_correlation
oracle,0,1.0,1.0,1.4837037037037037,50.4837037037037,0.013581585177843816,0.02023855312101525,0.9980166630870165,0.40383139312279626,0.04572374704192967,0.04447248133720026,0.9082397144575861,0.0978506609625756,0.9994209314491925,0.9905710093636534
full-history,0,0.972962962962963,0.9600000000000001,1.7448148148148146,50.504567901234566,0.013581585177843816,0.10099780243903747,0.9334992207168465,0.39576911360358813,0.07053045543333399,0.040379335928799984,0.8899233170223455,0.08523384666220539,0.9816819801223177,0.930124899303545
last-cycle,0,0.6198765432098765,0.23777777777777778,5.20283950617284,50.79283950617284,0.013581585177843816,0.24973983050997633,-0.05719643305860181,0.39814370089826445,0.17968780766628142,0.10819298998894453,0.6727860515278302,0.16786231541481303,0.45099025467947407,-0.05952559089767651
null,0,0.4922222222222223,0.4311111111111111,6.801358024691358,51.11296296296296,0.013581585177843816,0.08133192146721742,0.5853075558357218,0.4591870592564693,0.22423588723504304,0.11083022286093364,0.560645408860655,0.11813671344902105,0.7969232998484909,0.6047906765369225
oracle,1,0.9990123456790123,1.0,1.490864197530864,50.48543209876543,0.015269862900561586,0.030691609089893775,0.9967117696865305,0.42562114750017654,0.038628379488160766,0.03857202072712162,0.9463053002648508,0.08603345421940418,0.9995907973043819,0.9941395944992354
full-history,1,0.977530864197531,0.9444444444444444,1.7081481481481484,50.49469135802469,0.015269862900561586,0.06961703171081793,0.9594543802339125,0.43024104887249415,0.0799286460240692,0.04140789672483155,0.8584976224448457,0.07328670034748043,0.9919575111508241,0.9536262009695491
last-cycle,1,0.6125925925925927,0.20444444444444448,5.2206172839506175,50.75222222222222,0.015269862900561586,0.26312626349724694,-0.07179896248396417,0.41547974625288153,0.2050812654647779,0.12096525132152704,0.6337068181210499,0.18440290913333052,0.4365195705613105,-0.07235463379437954
null,1,0.4923456790123456,0.37666666666666665,6.819753086419754,51.080987654320985,0.015269862900561586,0.10306446488303593,0.5786420689064032,0.4603486812059726,0.20925963826886396,0.10374204618619451,0.5616282177030233,0.11233595431951775,0.789859794887684,0.6005794884988583
oracle,2,0.9998765432098766,1.0,1.479753086419753,50.479382716049386,0.014319182909371187,0.01988319478001404,0.9983061453410145,0.42421169779665374,0.034506592951412146,0.033731142934949776,0.9350739887503751,0.07632037707035831,0.9996928980524351,0.9946727797014575
full-history,2,0.9696296296296295,0.9522222222222223,1.7741975308641977,50.492345679012345,0.014319182909371187,0.0869331900558021,0.94982210328854,0.39351732837246994,0.07589609925843824,0.04797773328029961,0.8621793804623703,0.09558511610426279,0.9879808495507216,0.9417513935671451
last-cycle,2,0.61,0.21666666666666667,5.24432098765432,50.74037037037037,0.014319182909371187,0.2503106307892138,-0.032549792861543525,0.4238030816121577,0.1903793979352543,0.10769505925852178,0.6209059299764363,0.17061633106141721,0.4645052763211175,-0.035069021634156476
null,2,0.46802469135802466,0.4722222222222222,7.040864197530864,51.00012345679012,0.014319182909371187,0.08032576389873951,0.7187112814824459,0.44995468842458336,0.20750359224213094,0.09258825419388282,0.6059754109750811,0.09376923028539597,0.9809010745814968,0.7343481220696251
