goal_id,progress,place,action,q_value
0,0,0,0,7.908407740643026
0,0,0,1,6.396204097973491
0,0,0,2,5.6483460872811415
0,0,0,3,4.792750947584165
0,0,0,4,7.691686632139149
0,0,0,5,5.928857784824816
0,0,0,6,7.536661410588066
0,0,0,7,7.227368964287599
0,0,0,8,9.999999999999993
0,0,1,0,1.8138178622674708
0,0,1,1,3.9715507287833494
0,0,1,2,4.844941875145426
0,0,1,3,9.489999999997055
0,0,1,4,4.008293050717683
0,0,1,5,3.56457593600825
0,0,1,6,4.720458569922579
0,0,1,7,4.7666264392268
0,0,1,8,3.4956180251340156
0,0,2,0,1.5557004755053585
0,0,2,1,0.8418064300870167
0,0,2,2,2.422769034853134
0,0,2,3,9.004138702344338
0,0,2,4,1.549705413325964
0,0,2,5,1.61689939816248
0,0,2,6,0.4209365635335034
0,0,2,7,0.3690682003222308
0,0,2,8,1.687105476054165
0,0,3,0,9.489999999830818
0,0,3,1,3.961466948629689
0,0,3,2,4.7053907459697575
0,0,3,3,3.024071606757356
0,0,3,4,3.7451895029709887
0,0,3,5,2.314245909657851
0,0,3,6,3.1816731635376847
0,0,3,7,4.58752035542847
0,0,3,8,3.713067129141513
0,0,4,0,1.3391557816406
0,0,4,1,1.9520215613214673
0,0,4,2,0.5719959459325132
0,0,4,3,1.8923121401881904
0,0,4,4,1.4974445462573733
0,0,4,5,0.26576882923707656
0,0,4,6,3.552754197728134
0,0,4,7,9.427267368903854
0,0,4,8,2.452873598762588
0,0,5,0,1.5413492545278649
0,0,5,1,3.1329495804490706
0,0,5,2,2.0843879666458682
0,0,5,3,4.170071157111403
0,0,5,4,2.3070076816224474
0,0,5,5,1.8328347701340755
0,0,5,6,2.279181925985542
0,0,5,7,8.781938127489202
0,0,5,8,3.3154259682325726
0,0,6,0,9.00509822144101
0,0,6,1,1.6671061377891014
0,0,6,2,0.8741792363451264
0,0,6,3,1.128772723658348
0,0,6,4,2.4939506352547625
0,0,6,5,1.2016076548548502
0,0,6,6,1.90617832690562
0,0,6,7,0.3983117405932453
0,0,6,8,0.9742645176826481
0,0,7,0,0.054669669216609026
0,0,7,1,0.9450134550318967
0,0,7,2,0.12499388827478852
0,0,7,3,1.6410508110260085
0,0,7,4,1.680734366913608
0,0,7,5,1.6620522589922722
0,0,7,6,1.251618346370774
0,0,7,7,8.909945463138582
0,0,7,8,1.3249297748873197
0,0,8,0,8.316804044224602
0,0,8,1,1.6673534182526015
0,0,8,2,0.19890490461800311
0,0,8,3,1.9504086979177802
0,0,8,4,0.7180389569853667
0,0,8,5,0.7785398521024661
0,0,8,6,0.5648645633422895
0,0,8,7,0.7470041633786849
0,0,8,8,0.06583908733772653
0,0,,0,0.0
0,0,,1,0.0
0,0,,2,0.0
0,0,,3,0.0
0,0,,4,0.0
0,0,,5,0.0
0,0,,6,0.0
0,0,,7,0.0
0,0,,8,0.0
1,0,0,0,1.2230555608036395
1,0,0,1,9.488569592469577
1,0,0,2,0.04270402
1,0,0,3,0.3037370646213706
1,0,0,4,0.8793151304812468
1,0,0,5,1.0621031362192066
1,0,0,6,3.3165796370444474
